Entry	Entry name	Status	Protein names	Gene names	Organism	Length
P13762	DRB4_HUMAN	reviewed	"HLA class II histocompatibility antigen, DR beta 4 chain (MHC class II antigen DRB4)"	HLA-DRB4	Homo sapiens (Human)	266
Q08708	CLM6_HUMAN	reviewed	CMRF35-like molecule 6 (CLM-6) (CD300 antigen-like family member C) (CMRF35-A1) (CMRF-35) (Immunoglobulin superfamily member 16) (IgSF16) (CD antigen CD300c)	CD300C CMRF35 CMRF35A CMRF35A1 IGSF16	Homo sapiens (Human)	224
P43627	KI2L2_HUMAN	reviewed	Killer cell immunoglobulin-like receptor 2DL2 (CD158 antigen-like family member B1) (MHC class I NK cell receptor) (Natural killer-associated transcript 6) (NKAT-6) (p58 natural killer cell receptor clone CL-43) (p58 NK receptor CL-43) (CD antigen CD158b1)	KIR2DL2 CD158B1 NKAT6	Homo sapiens (Human)	348
P31997	CEAM8_HUMAN	reviewed	Carcinoembryonic antigen-related cell adhesion molecule 8 (CD67 antigen) (Carcinoembryonic antigen CGM6) (Non-specific cross-reacting antigen NCA-95) (CD antigen CD66b)	CEACAM8 CGM6	Homo sapiens (Human)	349
P43121	MUC18_HUMAN	reviewed	Cell surface glycoprotein MUC18 (Cell surface glycoprotein P1H12) (Melanoma cell adhesion molecule) (Melanoma-associated antigen A32) (Melanoma-associated antigen MUC18) (S-endo 1 endothelial-associated antigen) (CD antigen CD146)	MCAM MUC18	Homo sapiens (Human)	646
Q96B97	SH3K1_HUMAN	reviewed	SH3 domain-containing kinase-binding protein 1 (CD2-binding protein 3) (CD2BP3) (Cbl-interacting protein of 85 kDa) (Human Src family kinase-binding protein 1) (HSB-1)	SH3KBP1 CIN85	Homo sapiens (Human)	665
Q13464	ROCK1_HUMAN	reviewed	"Rho-associated protein kinase 1 (EC 2.7.11.1) (Renal carcinoma antigen NY-REN-35) (Rho-associated, coiled-coil-containing protein kinase 1) (Rho-associated, coiled-coil-containing protein kinase I) (ROCK-I) (p160 ROCK-1) (p160ROCK)"	ROCK1	Homo sapiens (Human)	1354
Q15788	NCOA1_HUMAN	reviewed	Nuclear receptor coactivator 1 (NCoA-1) (EC 2.3.1.48) (Class E basic helix-loop-helix protein 74) (bHLHe74) (Protein Hin-2) (RIP160) (Renal carcinoma antigen NY-REN-52) (Steroid receptor coactivator 1) (SRC-1)	NCOA1 BHLHE74 SRC1	Homo sapiens (Human)	1441
Q95IE3	2B1C_HUMAN	reviewed	"HLA class II histocompatibility antigen, DRB1-12 beta chain (MHC class II antigen DRB1*12) (DR-12) (DR12)"	HLA-DRB1	Homo sapiens (Human)	266
Q16570	ACKR1_HUMAN	reviewed	Atypical chemokine receptor 1 (Duffy antigen/chemokine receptor) (Fy glycoprotein) (GpFy) (Glycoprotein D) (Plasmodium vivax receptor) (CD antigen CD234)	ACKR1 DARC FY GPD	Homo sapiens (Human)	336
P20039	2B1B_HUMAN	reviewed	"HLA class II histocompatibility antigen, DRB1-11 beta chain (DR-5) (DR5) (DRw11) (MHC class II antigen DRB1*11)"	HLA-DRB1	Homo sapiens (Human)	266
Q13291	SLAF1_HUMAN	reviewed	Signaling lymphocytic activation molecule (CDw150) (IPO-3) (SLAM family member 1) (CD antigen CD150)	SLAMF1 SLAM	Homo sapiens (Human)	335
P01589	IL2RA_HUMAN	reviewed	Interleukin-2 receptor subunit alpha (IL-2 receptor subunit alpha) (IL-2-RA) (IL-2R subunit alpha) (IL2-RA) (TAC antigen) (p55) (CD antigen CD25)	IL2RA	Homo sapiens (Human)	272
P13224	GP1BB_HUMAN	reviewed	Platelet glycoprotein Ib beta chain (GP-Ib beta) (GPIb-beta) (GPIbB) (Antigen CD42b-beta) (CD antigen CD42c)	GP1BB	Homo sapiens (Human)	206
P33151	CADH5_HUMAN	reviewed	Cadherin-5 (7B4 antigen) (Vascular endothelial cadherin) (VE-cadherin) (CD antigen CD144)	CDH5	Homo sapiens (Human)	784
Q92974	ARHG2_HUMAN	reviewed	Rho guanine nucleotide exchange factor 2 (Guanine nucleotide exchange factor H1) (GEF-H1) (Microtubule-regulated Rho-GEF) (Proliferating cell nucleolar antigen p40)	ARHGEF2 KIAA0651 LFP40	Homo sapiens (Human)	986
P05538	DQB2_HUMAN	reviewed	"HLA class II histocompatibility antigen, DQ beta 2 chain (HLA class II histocompatibility antigen, DX beta chain) (MHC class II antigen DQB2)"	HLA-DQB2 HLA-DXB	Homo sapiens (Human)	268
P02724	GLPA_HUMAN	reviewed	Glycophorin-A (MN sialoglycoprotein) (PAS-2) (Sialoglycoprotein alpha) (CD antigen CD235a)	GYPA GPA	Homo sapiens (Human)	150
Q07075	AMPE_HUMAN	reviewed	Glutamyl aminopeptidase (EAP) (EC 3.4.11.7) (Aminopeptidase A) (AP-A) (Differentiation antigen gp160) (CD antigen CD249)	ENPEP	Homo sapiens (Human)	957
Q14954	KI2S1_HUMAN	reviewed	Killer cell immunoglobulin-like receptor 2DS1 (CD158 antigen-like family member H) (MHC class I NK cell receptor Eb6 ActI) (CD antigen CD158h)	KIR2DS1 CD158H	Homo sapiens (Human)	304
Q96DU3	SLAF6_HUMAN	reviewed	SLAM family member 6 (Activating NK receptor) (NK-T-B-antigen) (NTB-A) (CD antigen CD352)	SLAMF6 KALI UNQ6123/PRO20080	Homo sapiens (Human)	332
P40967	PMEL_HUMAN	reviewed	Melanocyte protein PMEL (ME20-M) (ME20M) (Melanocyte protein Pmel 17) (Melanocytes lineage-specific antigen GP100) (Melanoma-associated ME20 antigen) (P1) (P100) (Premelanosome protein) (Silver locus protein homolog) [Cleaved into: M-alpha (95 kDa melanocyte-specific secreted glycoprotein) (P26) (Secreted melanoma-associated ME20 antigen) (ME20-S) (ME20S); M-beta]	PMEL D12S53E PMEL17 SILV	Homo sapiens (Human)	661
P17931	LEG3_HUMAN	reviewed	Galectin-3 (Gal-3) (35 kDa lectin) (Carbohydrate-binding protein 35) (CBP 35) (Galactose-specific lectin 3) (Galactoside-binding protein) (GALBP) (IgE-binding protein) (L-31) (Laminin-binding protein) (Lectin L-29) (Mac-2 antigen)	LGALS3 MAC2	Homo sapiens (Human)	250
Q9UNQ0	ABCG2_HUMAN	reviewed	ATP-binding cassette sub-family G member 2 (Breast cancer resistance protein) (CDw338) (Mitoxantrone resistance-associated protein) (Placenta-specific ATP-binding cassette transporter) (Urate exporter) (CD antigen CD338)	ABCG2 ABCP BCRP BCRP1 MXR	Homo sapiens (Human)	655
P15814	IGLL1_HUMAN	reviewed	Immunoglobulin lambda-like polypeptide 1 (CD179 antigen-like family member B) (Ig lambda-5) (Immunoglobulin omega polypeptide) (Immunoglobulin-related protein 14.1) (CD antigen CD179b)	IGLL1 IGL1	Homo sapiens (Human)	213
P26717	NKG2C_HUMAN	reviewed	NKG2-C type II integral membrane protein (CD159 antigen-like family member C) (NK cell receptor C) (NKG2-C-activating NK receptor) (CD antigen CD159c)	KLRC2 NKG2C	Homo sapiens (Human)	231
P27930	IL1R2_HUMAN	reviewed	"Interleukin-1 receptor type 2 (IL-1R-2) (IL-1RT-2) (IL-1RT2) (CD121 antigen-like family member B) (CDw121b) (IL-1 type II receptor) (Interleukin-1 receptor beta) (IL-1R-beta) (Interleukin-1 receptor type II) (CD antigen CD121b) [Cleaved into: Interleukin-1 receptor type 2, membrane form (mIL-1R2) (mIL-1RII); Interleukin-1 receptor type 2, soluble form (sIL-1R2) (sIL-1RII)]"	IL1R2 IL1RB	Homo sapiens (Human)	398
Q05086	UBE3A_HUMAN	reviewed	Ubiquitin-protein ligase E3A (EC 2.3.2.26) (E6AP ubiquitin-protein ligase) (HECT-type ubiquitin transferase E3A) (Human papillomavirus E6-associated protein) (Oncogenic protein-associated protein E6-AP) (Renal carcinoma antigen NY-REN-54)	UBE3A E6AP EPVE6AP HPVE6A	Homo sapiens (Human)	875
P08582	TRFM_HUMAN	reviewed	Melanotransferrin (Melanoma-associated antigen p97) (CD antigen CD228)	MELTF MAP97 MFI2	Homo sapiens (Human)	738
O00241	SIRB1_HUMAN	reviewed	Signal-regulatory protein beta-1 (SIRP-beta-1) (CD172 antigen-like family member B) (CD antigen CD172b)	SIRPB1	Homo sapiens (Human)	398
Q30134	2B18_HUMAN	reviewed	"HLA class II histocompatibility antigen, DRB1-8 beta chain (MHC class II antigen DRB1*8) (DR-8) (DR8) (DRw8)"	HLA-DRB1	Homo sapiens (Human)	266
P16284	PECA1_HUMAN	reviewed	Platelet endothelial cell adhesion molecule (PECAM-1) (EndoCAM) (GPIIA') (PECA1) (CD antigen CD31)	PECAM1	Homo sapiens (Human)	738
Q8NHK3	KI2LB_HUMAN	reviewed	Killer cell immunoglobulin-like receptor 2DL5B (CD158 antigen-like family member F2) (Killer cell immunoglobulin-like receptor 2DLX) (CD antigen CD158f2)	KIR2DL5B CD158F CD158F2 KIR2DL5 KIR2DLX	Homo sapiens (Human)	375
P43489	TNR4_HUMAN	reviewed	Tumor necrosis factor receptor superfamily member 4 (ACT35 antigen) (OX40L receptor) (TAX transcriptionally-activated glycoprotein 1 receptor) (CD antigen CD134)	TNFRSF4 TXGP1L	Homo sapiens (Human)	277
P32248	CCR7_HUMAN	reviewed	C-C chemokine receptor type 7 (C-C CKR-7) (CC-CKR-7) (CCR-7) (BLR2) (CDw197) (Epstein-Barr virus-induced G-protein coupled receptor 1) (EBI1) (EBV-induced G-protein coupled receptor 1) (MIP-3 beta receptor) (CD antigen CD197)	CCR7 CMKBR7 EBI1 EVI1	Homo sapiens (Human)	378
P38570	ITAE_HUMAN	reviewed	Integrin alpha-E (HML-1 antigen) (Integrin alpha-IEL) (Mucosal lymphocyte 1 antigen) (CD antigen CD103) [Cleaved into: Integrin alpha-E light chain; Integrin alpha-E heavy chain]	ITGAE	Homo sapiens (Human)	1179
P26715	NKG2A_HUMAN	reviewed	NKG2-A/NKG2-B type II integral membrane protein (CD159 antigen-like family member A) (NK cell receptor A) (NKG2-A/B-activating NK receptor) (CD antigen CD159a)	KLRC1 NKG2A	Homo sapiens (Human)	233
Q9Y624	JAM1_HUMAN	reviewed	Junctional adhesion molecule A (JAM-A) (Junctional adhesion molecule 1) (JAM-1) (Platelet F11 receptor) (Platelet adhesion molecule 1) (PAM-1) (CD antigen CD321)	F11R JAM1 JCAM UNQ264/PRO301	Homo sapiens (Human)	299
O75022	LIRB3_HUMAN	reviewed	Leukocyte immunoglobulin-like receptor subfamily B member 3 (LIR-3) (Leukocyte immunoglobulin-like receptor 3) (CD85 antigen-like family member A) (Immunoglobulin-like transcript 5) (ILT-5) (Monocyte inhibitory receptor HL9) (CD antigen CD85a)	LILRB3 ILT5 LIR3	Homo sapiens (Human)	631
Q30167	2B1A_HUMAN	reviewed	"HLA class II histocompatibility antigen, DRB1-10 beta chain (DRw10) (MHC class II antigen DRB1*10)"	HLA-DRB1	Homo sapiens (Human)	266
Q14953	KI2S5_HUMAN	reviewed	Killer cell immunoglobulin-like receptor 2DS5 (CD158 antigen-like family member G) (MHC class I NK cell receptor) (Natural killer-associated transcript 9) (NKAT-9) (CD antigen CD158g)	KIR2DS5 CD158G NKAT9	Homo sapiens (Human)	304
P40199	CEAM6_HUMAN	reviewed	Carcinoembryonic antigen-related cell adhesion molecule 6 (Non-specific crossreacting antigen) (Normal cross-reacting antigen) (CD antigen CD66c)	CEACAM6 NCA	Homo sapiens (Human)	344
Q8N149	LIRA2_HUMAN	reviewed	Leukocyte immunoglobulin-like receptor subfamily A member 2 (CD85 antigen-like family member H) (Immunoglobulin-like transcript 1) (ILT-1) (Leukocyte immunoglobulin-like receptor 7) (LIR-7) (CD antigen CD85h)	LILRA2 ILT1 LIR7	Homo sapiens (Human)	483
P01906	DQA2_HUMAN	reviewed	"HLA class II histocompatibility antigen, DQ alpha 2 chain (DX alpha chain) (HLA class II histocompatibility antigen, DQ(6) alpha chain) (HLA-DQA1) (MHC class II DQA2)"	HLA-DQA2 HLA-DXA	Homo sapiens (Human)	255
P07948	LYN_HUMAN	reviewed	Tyrosine-protein kinase Lyn (EC 2.7.10.2) (Lck/Yes-related novel protein tyrosine kinase) (V-yes-1 Yamaguchi sarcoma viral related oncogene homolog) (p53Lyn) (p56Lyn)	LYN JTK8	Homo sapiens (Human)	512
Q8N6C8	LIRA3_HUMAN	reviewed	Leukocyte immunoglobulin-like receptor subfamily A member 3 (CD85 antigen-like family member E) (Immunoglobulin-like transcript 6) (ILT-6) (Leukocyte immunoglobulin-like receptor 4) (LIR-4) (Monocyte inhibitory receptor HM43/HM31) (CD antigen CD85e)	LILRA3 ILT6 LIR4	Homo sapiens (Human)	439
O75367	H2AY_HUMAN	reviewed	Core histone macro-H2A.1 (Histone macroH2A1) (mH2A1) (Histone H2A.y) (H2A/y) (Medulloblastoma antigen MU-MB-50.205)	H2AFY MACROH2A1	Homo sapiens (Human)	372
P23276	KELL_HUMAN	reviewed	Kell blood group glycoprotein (EC 3.4.24.-) (CD antigen CD238)	KEL	Homo sapiens (Human)	732
Q9HBG7	LY9_HUMAN	reviewed	T-lymphocyte surface antigen Ly-9 (Cell surface molecule Ly-9) (Lymphocyte antigen 9) (SLAM family member 3) (SLAMF3) (Signaling lymphocytic activation molecule 3) (CD antigen CD229)	LY9 CDABP0070	Homo sapiens (Human)	655
Q9GZW8	MS4A7_HUMAN	reviewed	Membrane-spanning 4-domains subfamily A member 7 (CD20 antigen-like 4) (CD20/FC-epsilon-RI-beta family member 4) (Four-span transmembrane protein 2)	MS4A7 4SPAN2 CD20L4 CFFM4	Homo sapiens (Human)	240
P00813	ADA_HUMAN	reviewed	Adenosine deaminase (EC 3.5.4.4) (Adenosine aminohydrolase)	ADA ADA1	Homo sapiens (Human)	363
Q9NPC4	A4GAT_HUMAN	reviewed	"Lactosylceramide 4-alpha-galactosyltransferase (EC 2.4.1.228) (Alpha-1,4-N-acetylglucosaminyltransferase) (Alpha-1,4-galactosyltransferase) (Alpha4Gal-T1) (CD77 synthase) (Globotriaosylceramide synthase) (Gb3 synthase) (P1/Pk synthase) (UDP-galactose:beta-D-galactosyl-beta1-R 4-alpha-D-galactosyltransferase)"	A4GALT A14GALT A4GALT1	Homo sapiens (Human)	353
Q2M3G0	ABCB5_HUMAN	reviewed	ATP-binding cassette sub-family B member 5 (ABCB5 P-gp) (P-glycoprotein ABCB5)	ABCB5	Homo sapiens (Human)	1257
Q9H013	ADA19_HUMAN	reviewed	Disintegrin and metalloproteinase domain-containing protein 19 (ADAM 19) (EC 3.4.24.-) (Meltrin-beta) (Metalloprotease and disintegrin dendritic antigen marker) (MADDAM)	ADAM19 MLTNB FKSG34	Homo sapiens (Human)	955
Q9UKF5	ADA29_HUMAN	reviewed	Disintegrin and metalloproteinase domain-containing protein 29 (ADAM 29) (Cancer/testis antigen 73) (CT73)	ADAM29	Homo sapiens (Human)	820
Q99965	ADAM2_HUMAN	reviewed	Disintegrin and metalloproteinase domain-containing protein 2 (ADAM 2) (Cancer/testis antigen 15) (CT15) (Fertilin subunit beta) (PH-30) (PH30) (PH30-beta)	ADAM2 FTNB	Homo sapiens (Human)	735
Q7Z591	AKNA_HUMAN	reviewed	AT-hook-containing transcription factor	AKNA KIAA1968	Homo sapiens (Human)	1439
Q6Q4G3	AMPQ_HUMAN	reviewed	Aminopeptidase Q (AP-Q) (APQ) (EC 3.4.11.-) (CHL2 antigen) (Laeverin)	LVRN AQPEP	Homo sapiens (Human)	990
O43918	AIRE_HUMAN	reviewed	Autoimmune regulator (Autoimmune polyendocrinopathy candidiasis ectodermal dystrophy protein) (APECED protein)	AIRE APECED	Homo sapiens (Human)	545
Q96CW1	AP2M1_HUMAN	reviewed	AP-2 complex subunit mu (AP-2 mu chain) (Adaptin-mu2) (Adaptor protein complex AP-2 subunit mu) (Adaptor-related protein complex 2 subunit mu) (Clathrin assembly protein complex 2 mu medium chain) (Clathrin coat assembly protein AP50) (Clathrin coat-associated protein AP50) (HA2 50 kDa subunit) (Plasma membrane adaptor AP-2 50 kDa protein)	AP2M1 CLAPM1 KIAA0109	Homo sapiens (Human)	435
P53680	AP2S1_HUMAN	reviewed	AP-2 complex subunit sigma (Adaptor protein complex AP-2 subunit sigma) (Adaptor-related protein complex 2 subunit sigma) (Clathrin assembly protein 2 sigma small chain) (Clathrin coat assembly protein AP17) (Clathrin coat-associated protein AP17) (HA2 17 kDa subunit) (Plasma membrane adaptor AP-2 17 kDa protein) (Sigma2-adaptin)	AP2S1 AP17 CLAPS2	Homo sapiens (Human)	142
Q9NYG5	APC11_HUMAN	reviewed	Anaphase-promoting complex subunit 11 (APC11) (Cyclosome subunit 11) (Hepatocellular carcinoma-associated RING finger protein)	ANAPC11 HSPC214	Homo sapiens (Human)	84
O94973	AP2A2_HUMAN	reviewed	AP-2 complex subunit alpha-2 (100 kDa coated vesicle protein C) (Adaptor protein complex AP-2 subunit alpha-2) (Adaptor-related protein complex 2 subunit alpha-2) (Alpha-adaptin C) (Alpha2-adaptin) (Clathrin assembly protein complex 2 alpha-C large chain) (Huntingtin yeast partner J) (Huntingtin-interacting protein 9) (HIP-9) (Huntingtin-interacting protein J) (Plasma membrane adaptor HA2/AP2 adaptin alpha C subunit)	AP2A2 ADTAB CLAPA2 HIP9 HYPJ KIAA0899	Homo sapiens (Human)	939
P63010	AP2B1_HUMAN	reviewed	AP-2 complex subunit beta (AP105B) (Adaptor protein complex AP-2 subunit beta) (Adaptor-related protein complex 2 subunit beta) (Beta-2-adaptin) (Beta-adaptin) (Clathrin assembly protein complex 2 beta large chain) (Plasma membrane adaptor HA2/AP2 adaptin beta subunit)	AP2B1 ADTB2 CLAPB1	Homo sapiens (Human)	937
O75843	AP1G2_HUMAN	reviewed	AP-1 complex subunit gamma-like 2 (Gamma2-adaptin) (G2ad)	AP1G2	Homo sapiens (Human)	785
P29972	AQP1_HUMAN	reviewed	Aquaporin-1 (AQP-1) (Aquaporin-CHIP) (Urine water channel) (Water channel protein for red blood cells and kidney proximal tubule)	AQP1 CHIP28	Homo sapiens (Human)	269
P84077	ARF1_HUMAN	reviewed	ADP-ribosylation factor 1	ARF1	Homo sapiens (Human)	181
O14617	AP3D1_HUMAN	reviewed	AP-3 complex subunit delta-1 (AP-3 complex subunit delta) (Adaptor-related protein complex 3 subunit delta-1) (Delta-adaptin)	AP3D1 PRO0039	Homo sapiens (Human)	1153
P01008	ANT3_HUMAN	reviewed	Antithrombin-III (ATIII) (Serpin C1)	SERPINC1 AT3 PRO0309	Homo sapiens (Human)	464
O15033	AREL1_HUMAN	reviewed	Apoptosis-resistant E3 ubiquitin protein ligase 1 (EC 2.3.2.26) (Apoptosis-resistant HECT-type E3 ubiquitin transferase 1)	AREL1 KIAA0317	Homo sapiens (Human)	823
O95782	AP2A1_HUMAN	reviewed	AP-2 complex subunit alpha-1 (100 kDa coated vesicle protein A) (Adaptor protein complex AP-2 subunit alpha-1) (Adaptor-related protein complex 2 subunit alpha-1) (Alpha-adaptin A) (Alpha1-adaptin) (Clathrin assembly protein complex 2 alpha-A large chain) (Plasma membrane adaptor HA2/AP2 adaptin alpha A subunit)	AP2A1 ADTAA CLAPA1	Homo sapiens (Human)	977
Q13315	ATM_HUMAN	reviewed	Serine-protein kinase ATM (EC 2.7.11.1) (Ataxia telangiectasia mutated) (A-T mutated)	ATM	Homo sapiens (Human)	3056
P02749	APOH_HUMAN	reviewed	Beta-2-glycoprotein 1 (APC inhibitor) (Activated protein C-binding protein) (Anticardiolipin cofactor) (Apolipoprotein H) (Apo-H) (Beta-2-glycoprotein I) (B2GPI) (Beta(2)GPI)	APOH B2G1	Homo sapiens (Human)	345
Q92482	AQP3_HUMAN	reviewed	Aquaporin-3 (AQP-3) (Aquaglyceroporin-3)	AQP3	Homo sapiens (Human)	292
Q13867	BLMH_HUMAN	reviewed	Bleomycin hydrolase (BH) (BLM hydrolase) (BMH) (EC 3.4.22.40)	BLMH	Homo sapiens (Human)	455
P61769	B2MG_HUMAN	reviewed	Beta-2-microglobulin [Cleaved into: Beta-2-microglobulin form pI 5.3]	B2M CDABP0092 HDCMA22P	Homo sapiens (Human)	119
Q6ZUJ8	BCAP_HUMAN	reviewed	Phosphoinositide 3-kinase adapter protein 1 (B-cell adapter for phosphoinositide 3-kinase) (B-cell phosphoinositide 3-kinase adapter protein 1)	PIK3AP1 BCAP	Homo sapiens (Human)	805
O00327	BMAL1_HUMAN	reviewed	Aryl hydrocarbon receptor nuclear translocator-like protein 1 (Basic-helix-loop-helix-PAS protein MOP3) (Brain and muscle ARNT-like 1) (Class E basic helix-loop-helix protein 5) (bHLHe5) (Member of PAS protein 3) (PAS domain-containing protein 3) (bHLH-PAS protein JAP3)	ARNTL BHLHE5 BMAL1 MOP3 PASD3	Homo sapiens (Human)	626
P41182	BCL6_HUMAN	reviewed	B-cell lymphoma 6 protein (BCL-6) (B-cell lymphoma 5 protein) (BCL-5) (Protein LAZ-3) (Zinc finger and BTB domain-containing protein 27) (Zinc finger protein 51)	BCL6 BCL5 LAZ3 ZBTB27 ZNF51	Homo sapiens (Human)	706
P62158	CALM_HUMAN	reviewed	Calmodulin (CaM)	CALM1 CALM CAM CAM1; CALM2 CAM2 CAMB; CALM3 CALML2 CAM3 CAMC CAMIII	Homo sapiens (Human)	149
O60885	BRD4_HUMAN	reviewed	Bromodomain-containing protein 4 (Protein HUNK1)	BRD4 HUNK1	Homo sapiens (Human)	1362
Q06187	BTK_HUMAN	reviewed	Tyrosine-protein kinase BTK (EC 2.7.10.2) (Agammaglobulinemia tyrosine kinase) (ATK) (B-cell progenitor kinase) (BPK) (Bruton tyrosine kinase)	BTK AGMX1 ATK BPK	Homo sapiens (Human)	659
P51451	BLK_HUMAN	reviewed	Tyrosine-protein kinase Blk (EC 2.7.10.2) (B lymphocyte kinase) (p55-Blk)	BLK	Homo sapiens (Human)	505
Q8WV28	BLNK_HUMAN	reviewed	B-cell linker protein (B-cell adapter containing a SH2 domain protein) (B-cell adapter containing a Src homology 2 domain protein) (Cytoplasmic adapter protein) (Src homology 2 domain-containing leukocyte protein of 65 kDa) (SLP-65)	BLNK BASH SLP65	Homo sapiens (Human)	456
Q7Z6A9	BTLA_HUMAN	reviewed	B- and T-lymphocyte attenuator (B- and T-lymphocyte-associated protein) (CD antigen CD272)	BTLA	Homo sapiens (Human)	289
Q96EU7	C1GLC_HUMAN	reviewed	"C1GALT1-specific chaperone 1 (C38H2-like protein 1) (C38H2-L1) (Core 1 beta1,3-galactosyltransferase 2) (C1Gal-T2) (C1GalT2) (Core 1 beta3-Gal-T2) (Core 1 beta3-galactosyltransferase-specific molecular chaperone)"	C1GALT1C1 COSMC HSPC067 MSTP143 UNQ273/PRO310	Homo sapiens (Human)	318
P07339	CATD_HUMAN	reviewed	Cathepsin D (EC 3.4.23.5) [Cleaved into: Cathepsin D light chain; Cathepsin D heavy chain]	CTSD CPSD	Homo sapiens (Human)	412
Q13191	CBLB_HUMAN	reviewed	E3 ubiquitin-protein ligase CBL-B (EC 2.3.2.27) (Casitas B-lineage lymphoma proto-oncogene b) (RING finger protein 56) (RING-type E3 ubiquitin transferase CBL-B) (SH3-binding protein CBL-B) (Signal transduction protein CBL-B)	CBLB RNF56 Nbla00127	Homo sapiens (Human)	982
P22681	CBL_HUMAN	reviewed	E3 ubiquitin-protein ligase CBL (EC 2.3.2.27) (Casitas B-lineage lymphoma proto-oncogene) (Proto-oncogene c-Cbl) (RING finger protein 55) (RING-type E3 ubiquitin transferase CBL) (Signal transduction protein CBL)	CBL CBL2 RNF55	Homo sapiens (Human)	906
Q96GE6	CALL4_HUMAN	reviewed	Calmodulin-like protein 4 (Serologically defined breast cancer antigen NY-BR-20)	CALML4	Homo sapiens (Human)	196
O00585	CCL21_HUMAN	reviewed	C-C motif chemokine 21 (6Ckine) (Beta-chemokine exodus-2) (Secondary lymphoid-tissue chemokine) (SLC) (Small-inducible cytokine A21)	CCL21 SCYA21 UNQ784/PRO1600	Homo sapiens (Human)	134
Q99731	CCL19_HUMAN	reviewed	C-C motif chemokine 19 (Beta-chemokine exodus-3) (CK beta-11) (Epstein-Barr virus-induced molecule 1 ligand chemokine) (EBI1 ligand chemokine) (ELC) (Macrophage inflammatory protein 3 beta) (MIP-3-beta) (Small-inducible cytokine A19)	CCL19 ELC MIP3B SCYA19	Homo sapiens (Human)	98
P00751	CFAB_HUMAN	reviewed	Complement factor B (EC 3.4.21.47) (C3/C5 convertase) (Glycine-rich beta glycoprotein) (GBG) (PBF2) (Properdin factor B) [Cleaved into: Complement factor B Ba fragment; Complement factor B Bb fragment]	CFB BF BFD	Homo sapiens (Human)	764
Q9NSP4	CENPM_HUMAN	reviewed	Centromere protein M (CENP-M) (Interphase centromere complex protein 39) (Proliferation-associated nuclear element protein 1)	CENPM C22orf18 ICEN39 PANE1	Homo sapiens (Human)	180
Q14511	CASL_HUMAN	reviewed	Enhancer of filamentation 1 (hEF1) (CRK-associated substrate-related protein) (CAS-L) (CasL) (Cas scaffolding protein family member 2) (Neural precursor cell expressed developmentally down-regulated protein 9) (NEDD-9) (Renal carcinoma antigen NY-REN-12) (p105) [Cleaved into: Enhancer of filamentation 1 p55]	NEDD9 CASL CASS2	Homo sapiens (Human)	834
Q8IUN9	CLC10_HUMAN	reviewed	C-type lectin domain family 10 member A (C-type lectin superfamily member 14) (Macrophage lectin 2) (CD antigen CD301)	CLEC10A CLECSF13 CLECSF14 HML	Homo sapiens (Human)	316
Q8WXI8	CLC4D_HUMAN	reviewed	C-type lectin domain family 4 member D (C-type lectin superfamily member 8) (C-type lectin-like receptor 6) (CLEC-6)	CLEC4D CLECSF8 MCL	Homo sapiens (Human)	215
Q6EIG7	CLC6A_HUMAN	reviewed	C-type lectin domain family 6 member A (C-type lectin superfamily member 10) (Dendritic cell-associated C-type lectin 2) (DC-associated C-type lectin 2) (Dectin-2)	CLEC6A CLECSF10 DECTIN2	Homo sapiens (Human)	209
P51679	CCR4_HUMAN	reviewed	C-C chemokine receptor type 4 (C-C CKR-4) (CC-CKR-4) (CCR-4) (CCR4) (K5-5) (CD antigen CD194)	CCR4 CMKBR4	Homo sapiens (Human)	360
O43745	CHP2_HUMAN	reviewed	Calcineurin B homologous protein 2 (Hepatocellular carcinoma-associated antigen 520)	CHP2 HCA520	Homo sapiens (Human)	196
Q9H5V8	CDCP1_HUMAN	reviewed	CUB domain-containing protein 1 (Membrane glycoprotein gp140) (Subtractive immunization M plus HEp3-associated 135 kDa protein) (SIMA135) (Transmembrane and associated with src kinases) (CD antigen CD318)	CDCP1 TRASK UNQ2486/PRO5773	Homo sapiens (Human)	836
Q6UXN8	CLC9A_HUMAN	reviewed	C-type lectin domain family 9 member A	CLEC9A UNQ9341/PRO34046	Homo sapiens (Human)	241
Q92478	CLC2B_HUMAN	reviewed	C-type lectin domain family 2 member B (Activation-induced C-type lectin) (C-type lectin superfamily member 2) (IFN-alpha-2b-inducing-related protein 1)	CLEC2B AICL CLECSF2 IFNRG1	Homo sapiens (Human)	149
Q8WTT0	CLC4C_HUMAN	reviewed	C-type lectin domain family 4 member C (Blood dendritic cell antigen 2) (BDCA-2) (C-type lectin superfamily member 7) (Dendritic lectin) (CD antigen CD303)	CLEC4C BDCA2 CLECSF11 CLECSF7 DLEC HECL UNQ9361/PRO34150	Homo sapiens (Human)	213
O15516	CLOCK_HUMAN	reviewed	Circadian locomoter output cycles protein kaput (hCLOCK) (EC 2.3.1.48) (Class E basic helix-loop-helix protein 8) (bHLHe8)	CLOCK BHLHE8 KIAA0334	Homo sapiens (Human)	846
Q2HXU8	CL12B_HUMAN	reviewed	C-type lectin domain family 12 member B (Macrophage antigen H)	CLEC12B UNQ5782/PRO16089	Homo sapiens (Human)	276
